branch_id,branch_name,mail_address_1,mail_city,mail_state,mail_zip_code,mail_country
3615,CHARLOTTE NC,5521 Lakeview Dr    ,Charlotte      ,NC,28269      ,US
1767,WEST OEM VIRTUAL,418 Aberdeen Rd     ,Hampton        ,VA,23661      ,US
2770,VAL D'OR QUEBEC,1510 4 Ieme Rue     ,Val D'Or       ,QC,J9P 6X2    ,CN
1965,"CSC SAN FRANCISCO, CA",2800 Mead Ave       ,Santa Clara    ,CA,95051      ,US
5795,OKLAHOMA CITY OK,500 N Pennsylvania A,Oklahoma City  ,OK,73107      ,US
3270,TOLEDO OH,6519 Fairfield Dr   ,Northwood      ,OH,43619      ,US
2581,BREWS SUPPLY CALGARY,11195 42 St SE      ,Calgary        ,AB,T2C 0J9    ,CN
1971,"CSC LOS ANGELES, CA",6251 Knott Ave      ,Buena Park     ,CA,90620      ,US
6109,ANCHORAGE AK,5760 Silverado Way  ,Anchorage      ,AK,99518      ,US
7853,BISMARCK ND,901 S 9th St        ,Bismarck       ,ND,58504      ,US
2810,TORONTO ON CONSTR,475 Hood Rd         ,Markham        ,ON,L3R 0S8    ,CN
1922,C-B RALEIGH,2205 Westinghouse Bl,Raleigh        ,NC,27604      ,US
7534,US - NV - Sparks RENO NV,1161 E Glendale Ave ,Sparks         ,NV,89431      ,US
7818,JACKSON MS UTILITY,187 Country Place PK,Pearl          ,MS,39208      ,US
6102,"MOSES LAKE, WA GENIE",2233 6th Ave S      ,Seattle        ,WA,98134-2001 ,CN
7658,FLOWERY BRANCH,4050 Enterprise Way ,Flowery Branch ,GA,30542      ,US
2645,NANAIMO BC,1809 Fremont Rd     ,Nanaimo        ,BC,V9S 3H3    ,CN
6216,US - CA - Sacramento - 1301 North Market Boulevard,1301 N Market Blvd  ,Sacramento     ,CA,95834      ,US
3427,US-OK-OKLAHOMA CITY-P66,3400 S 7thÂ St      ,Ponca City     ,OK,74601      ,US
7840,ATLANTA GA - UTILITY,7375 Graham Drive   ,Fairburn       ,GA,30213      ,US
5568,BEAUMONT TX,3815 W Cardinal Dr  ,Beaumont       ,TX,77705      ,US
6221,CONCORD CA,2500 Dean Lesher Dr ,Concord        ,CA,94520      ,US
7809,PGH MANCHESTER DUQUESNE LGT,2515 Preble Ave     ,Pittsburgh     ,PA,15233      ,US
5697,US-LA- LAFAYETTE PHILLIPS 66,200 Matrix Loop     ,Lafayette      ,LA,70507      ,US
1924,C-B SPRINGFIELD,241 S Union Ave     ,Springfield    ,MO,65802      ,US
7227,NIGERIA / CABINDA,7049 Brookhollow W D,Houston        ,TX,77040      ,US
5104,US - IL - CHICAGO CONSTRUCTION IL,2401 Internationale ,Woodridge      ,IL,60517      ,US
7540,"TUCSON, AZ",1665 E 22nd St      ,Tucson         ,AZ,85713      ,US
1911,C-B LITTLE ROCK NATL/GOVT ACCT,3600 W 69th St      ,Little Rock    ,AR,72210      ,US
1959,"CSC PHOENIX, AZ",3425 E Van Buren    ,Phoenix        ,AZ,85008      ,US
1018,US - HI - HONOLULU/MAUI - INDUSTRIAL,1030 Mapunapuna Stre,Honolulu       ,HI,96819      ,US
7499,M/S GROUP IMPORT DC SLS ELIM,353 N 44th Ave      ,Phoenix        ,AZ,85043      ,US
5234,EVANSVILLE IN,401 S 3rd Ave       ,Evansville     ,IN,47708      ,US
2216,LONGUEUIL PQ,4100 Place Java     ,Brossard       ,QC,J4Y 0C4    ,CN
5837,US - MO - Kansas City,2301 E Truman Rd    ,Kansas City    ,MO,64127      ,US
1948,C-B LITTLE ROCK DC ELIMINATION,3600 W 69th St      ,Little Rock    ,AR,72209      ,US
5569,US-TX- CLUTE PHILLIPS 66,447 East Plantation ,Clute          ,TX,77531      ,US
7880,MEMPHIS UTILITY,4477 Winchester Rd  ,Memphis        ,TN,38118      ,US
7440,ELKHART IN,3701 Gallatin Way   ,Elkhart        ,IN,46514      ,US
1947,C-B LITTLE ROCK CORP SALES,3600 W 69th St      ,Little Rock    ,AR,72209      ,US
2330,OTTAWA ON,1660 Comstock Rd    ,Ottawa         ,ON,K1B 5L2    ,CN
2515,GRAND PRAIRIE AB,12102 97 Ave        ,Grande Prairie ,AB,T8W 0J7    ,CN
3415,US - OH - Dayton,2080 Winners Cir    ,Dayton         ,OH,45404      ,US
1972,"CSC DETROIT, MI",33162 Sterling Ponds,Sterling Height,MI,48312      ,US
1716,CSC EXPRESS,200 E Lies Rd       ,Carol Stream   ,IL,60188      ,US
7672,HAMBY YOUNG PROJECTS,1245 Danner Dr      ,Aurora         ,OH,44202      ,US
3225,DETROIT MI,33162 Sterling Ponds,Sterling Height,MI,48312      ,US
7630,HAMMOND IN - EESCO,3550 179th St       ,Hammond        ,IN,46323      ,US
1855,CSC WICHITA,1257 N Mosley St    ,Wichita        ,KS,67214      ,US
5843,CENTRAL OEM VIRTUAL,4477 Winchester Rd  ,Memphis        ,TN,38118      ,US
6438,US - UT - Salt Lake City - 3210 South 900 West,3210 S 900 W        ,Salt Lake City ,UT,84119      ,US
2350,HAMILTON ON,1910 Barton St E    ,Hamilton       ,ON,L8H 2Y6    ,CN
1901,C-B ATLANTA GA,700 Sigman Rd NE    ,Conyers        ,GA,30013      ,US
7649,NEW BRIGHTON MN - EESCO,601 Lakeview Pt     ,New Brighton   ,MN,55112      ,US
7396,DIST CTR ELIM - DALLAS TX,9400 N Royal Ln     ,Irving         ,TX,75063      ,US
7144,NATIONAL BRANCH-WARRENDALE PA,185 Thorn Hill Rd   ,Warrendale     ,PA,15086      ,US
5441,OMAHA NE,13535 F St          ,Omaha          ,NE,68137      ,US
7434,TIFTON GA,255 Jordan Rd       ,Tifton         ,GA,31794      ,US
5223,US - IN - Indianapolis - 1560 Indiana Drive,1560 Indiana Ave    ,Indianapolis   ,IN,46202      ,US
7831,"DUKE WHV- GREENFIELD, IN",2718 Jannetides Blvd,Greenfield     ,IN,46140      ,US
7392,DIST CTR ELIM - WARRENDALE PA,185 Thorn Hill Rd   ,Warrendale     ,PA,15086      ,US
7601,MONROE LA - MURCO,201 Washington St   ,Monroe         ,LA,71201      ,US
7843,LEXINGTON KY,1721 Fortune Ct     ,Lexington      ,KY,40509      ,US
1053,"BISMARCK, ND - CONSTRUCTION",901 South 9th St.   ,Bismarck       ,ND,58504      ,US
7423,MONROE NC,Industrial Ventures ,Monroe         ,NC,28110      ,US
1344,US - NY - Cheektowaga - 120 Galleria Drive,120 Galleria Dr     ,Cheektowaga    ,NY,14225      ,US
1967,"CSC ORLANDO, FL",1701 Boice Pond Rd  ,Orlando        ,FL,32837      ,US
7854,SIOUX CITY IA,2501 E 3rd St       ,Sioux City     ,IA,51101      ,US
5793,ODESSA TX,208 S Williams St   ,Odessa         ,TX,79763      ,US
7653,US - MN - Duluth 4304 W. First Street,4304 W 1st St       ,Duluth         ,MN,55807      ,US
1061,CINCINNATI OH - DUKE,6860 Ashfield Drive ,Blue Ash       ,OH,45242      ,US
6712,BELRIDGE CA,20364 7th Standard R,Mckittrick     ,CA,93251      ,US
1909,C-B LITTLE ROCK BRANCH OPS,3600 W 69th St      ,Little Rock    ,AR,72209      ,US
6706,EL PASO TX,6510A Gtwy E        ,El Paso        ,TX,79905      ,US
7441,MS CAROL STREAM IL,200 Lies Rd         ,Carol Stream   ,IL,60188      ,US
6456,"ROCK SPRINGS, WY",31 Wilkins Peak Dr  ,Rock Springs   ,WY,82901      ,US
7685,VALDOSTA GA - ACE,813 Gil Harbin Indus,Valdosta       ,GA,31603      ,US
7680,DUKE GENERATION - FLORIDA,3881 Old Winter Gard,Orlando        ,FL,32805      ,US
1978,"CSC INDIANAPOLIS, IN",1560 Indiana Ave    ,Indianapolis   ,IN,46202      ,US
2335,KINGSTON ON,640 Cataraqui Woods ,Kingston       ,ON,K7P 2Y5    ,CN
1985,"CSC CLEVELAND, OH",4741 Hinckley Indust,Cleveland      ,OH,44109      ,US
1724,US - IL - CAROL STREAM MICROSOFT,200 Lies Road       ,Carol Stream   ,IL,60188      ,US
5846,US - MO - St. Louis,2820 Market St      ,St. Louis      ,MO,63103      ,US
3410,US - OH - Columbus - COLUMBUS OH,2256 City Gate Dr   ,Columbus       ,OH,43219      ,US
2619,VANCOUVER BC,1055 Clarke Dr      ,Vancouver      ,BC,V5L 3K1    ,CN
1961,"CSC CHARLOTTE, NC",5521 Lakeview Rd    ,Charlotte      ,NC,28269      ,US
1966,"CSC DALLAS, TX",9400 N Royal Ln     ,Irving         ,TX,75063      ,US
1921,C-B PHOENIX AZ,3425 E Van Buren    ,Phoenix        ,AZ,85008      ,US
1979,"CSC TULSA, OK",13047 E 59th St     ,Tulsa          ,OK,74134      ,US
3725,MOBILE AL,566 Beauregard St   ,Mobile         ,AL,36603      ,US
7310,CHICAGO DC,200 E Lies Rd       ,Carol Stream   ,IL,60188      ,US
7582,"RICHMOND, VA",12141 Wilfong Ct    ,Midlothian     ,VA,23112      ,US
2390,SUDBURY ON,1010 Lorne St       ,Sudbury        ,ON,P3C 4R9    ,CN
3605,ASHEVILLE NC,840 Riverside Dr    ,Asheville      ,NC,28804      ,US
7394,DIST CTR ELIM - BYHALIA MS,7300 W Hwy 178      ,Byhalia        ,MS,38611      ,US
1790,RECO - CINCINNATI,6860 Ashfield Dr    ,Blue Ash       ,OH,45242      ,US
1933,C-B EL PASO,6510A Gtwy E        ,El Paso        ,TX,79905      ,US
5570,US-MO-ST LOIUS PHILLIPS 66,2820 Market St      ,St. Louis      ,MO,63103      ,US
2530,LLOYDMINSTER AB,5901 47 St          ,Lloydminster   ,AB,T9V 2G4    ,CN
1798,ASSEMBLED SOLUTIONS MATERIAL MANAGEMENT,7049 Brookhollow W D,Houston        ,TX,77040      ,US
7304,DIST CTR - BYHALIA MS,7300 W Hwy 178      ,Byhalia        ,MS,38611      ,US
