Contractor_Name,State,RT_POS_Customer,Qtrly_Avg_Kw,Qtrly_Avg_PC
Prolectric Contractors LLC,AR,,19.307015,2.385191
"Power Sync Solar, LLC",AR,,25.4963822,3.1498262
Dynamis,AR,,40.3716645714286,4.98752028571429
Dr Horton,AR,,19.197316,2.371639
Turnkey Construction Management,AR,,135.293058,16.7141196666667
Delta Solar LLC,AR,,19.167529,2.367959
Arrowpoint Solar,AR,,380.890749428572,47.0552857142857
"Paladino-Nash, Inc",AR,,117.599599,14.5282678333333
Groundup Solar & Electrical LLC,AR,,17.6848,2.184782
Crossnet Electric,AR,,17.6848,2.184782
Zeo Energy (formerly Sunergy Solar FL),AR,TRUE,148.2509932,18.3149442
Tread Light Electric,AR,,15.357853,1.897311
Credible Solar,AR,,15.219429,1.88021
Ths Home Solar,AR,,15.219429,1.88021
Sunrun Inc.,CA,TRUE,71389.3629438462,11161.4585514615
Tesla Energy,CA,,25169.9471913077,3116.06933407692
Sunpower Corp,CA,TRUE,27086.6787229231,5167.80295530769
Bright Planet Solar,CA,TRUE,15869.3589583846,2364.67536761538
Freedom Forever,CA,TRUE,14388.8554481539,1996.38091246154
Sunnova Energy,CA,TRUE,5636.12342238462,1432.94734592308
V3 Electric,CA,TRUE,4296.35575823077,635.596644846154
Citadel Roofing,CA,,3492.67218738462,766.099660230769
Empower Home Solar Inc.,CA,,3714.45804430769,554.326420615385
Energy Service Partners,CA,TRUE,5133.98156053846,736.757207
Semper Solaris,CA,,6167.94702753846,925.508432307692
Solar Negotiators,CA,TRUE,2925.15972976923,330.917494076923
Complete Solar,CA,TRUE,2611.62208123077,397.553691846154
"Powur, PBC",CA,TRUE,5072.52608,581.667303153846
Infinity Energy Inc,CA,TRUE,6477.626978,997.634877538461
Better Earth Inc.,CA,TRUE,5860.35302407692,827.352060615385
Exo Energy Inc.,CA,,2338.03216046154,290.044564846154
Solar Optimum,CA,TRUE,4472.33870292308,560.830069307692
NRG Clean Energy,CA,TRUE,2708.81080584615,367.300393076923
Southwest Solar,CA,,1387.82190815385,244.870697307692
Solar Savings Direct,CA,TRUE,1305.424007,172.325414692308
Baker Electric Solar,CA,,4109.744638,560.501968230769
Lifestyle Solar,CA,,1097.77127523077,240.084333076923
Leonard Roofing,CA,,1340.22214253846,354.287696
North Valley LLC,CA,,1100.58451438462,158.949449538462
LGCY Power,CA,TRUE,1088.893309375,160.12892725
Skyline Smart Energy,CA,TRUE,1331.92971307692,177.984020923077
Renova Energy Corp,CA,,2715.91867215385,258.702781
Ambrose Solar,CA,,1474.08242261539,182.666520384615
Ilum Solar,CA,,1451.04955738462,180.626981923077
AP Electric,CA,,1584.96957830769,208.215919615385
Senga Energy,CA,TRUE,811.353039615385,109.508637769231
Current Home,CA,TRUE,1990.30143323077,236.279573153846
Sonray Construction,CA,,667.670215,187.089386923077
Grid Alternatives,CA,TRUE,930.775336923077,202.847031538462
SolarMax,CA,TRUE,2012.40416546154,232.502258384615
Bryton Power,CA,TRUE,498.630627142857,79.4785828571429
Orange County Solar,CA,,1083.17406376923,126.970942615385
Jeff Periera Home Energy      ,CA,,936.957070923077,147.814555692308
Nation Energy Services Inc,CA,,441.709572230769,63.5775663846154
Axia Solar Corp,CA,TRUE,363.418074333333,50.4725941111111
Ohm Solar Solutions,CA,,1050.80777992308,145.036315538462
Lennar Family of Builders,CA,,473.06391,103.88913
