Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,Total
Empower Energy Solutions,MA,205,224,1,RyanW,299.25,235.95,1042.95,240.8,2844.4,6986.92,17708.51,4195,1396.4,308,429.6,887.12,973.88,1037.34,256.3,,38842.42
Cod-Solustria Solar Llc,TX,204,1987,1,Genki,196.34,,,,,,,,,,,,,,,,196.34
Cod Sales,CO,203,2685,1,Genki,57.1,10.75,,34.16,129,141.4,32.25,,28.08,,103.65,35.03,199.06,16.22,61.04,,847.74
C & C Contracting Solutions Ll,FL,202,8018,1,RyanW,540.05,,,,,,,,,,,,,,,,540.05
Wilkes-Barre,PA,2620,0,5,RyanW,126.58,,,,,,,,,,,,,,,,126.58
United Better Homes,MA,222,224,1,RyanW,1070.2,5504,7267,5676,5185.2,3576.6,2420.6,5352.8,3698,3329.6,11616,10022,8225.2,3096,4042,602,80683.2
Summit Energy Group,MA,221,224,1,RyanW,29,,172,1869,43,580,,,,,,,,,,,2693
Solar My Home,FL,220,4560,1,RyanW,7.2,,,,,,,,,,,,,,,,7.2
Rising Sun Epc,OK,219,236,1,Guy,1276,,,,,,,,,,,,,,,,1276
Milholland Electric,NM,218,148,1,Genki,83,,,,,,,,,,,,,,,,83
Grne Solar,IA,217,987,1,Guy,1014.8,1827.21,839.72,,,,,,,,,,,,,,3681.73
Great Sky,MA,216,224,1,RyanW,3572.4,4734.6,4854.7,3167.4,6021.4,8929.9,5873.3,6241.2,2852.8,,157.85,90.2,451,,,,46946.75
Sunwatt Energy,NM,234,148,1,Genki,371,,,,,,,,,,,,,,,,371
Solar Cen Tex,TX,233,236,1,Genki,113.2,,,,,,,,,,,,,,,,113.2
Solar Advantage Llc,FL,232,8018,1,RyanW,45.1,,266.4,,,,,,,,,,,,,,311.5
Premier Renewables Llc,CO,231,1875,1,Genki,37.19,,,,,,,,,,,,,,,,37.19
Larsun Solar Llc,CA,230,6435,1,Genki,104.4,,,,,,,,,,,,,,,,104.4
Krannich Solar East Llc,NJ,229,5887,1,RyanW,34,,,,,,,,,,,,,,,,34
Hurricane Heroes,FL,228,5621,1,RyanW,807.6,,,,,,,,,,,,,,,,807.6
Go Green Industries Inc,MA,227,224,1,RyanW,1232.1,1332,1332,906.6,292.2,9,,373.8,,,,,270.6,,61.6,,5809.9
Cod Sales,NC,226,6058,1,RyanW,612.24,,40.49,,1595.2,264.22,,499.6,,,,,8.28,,,,3020.03
Ced - Vineland,MD,225,1045,1,RyanW,504,360,,,,,,,,,,,,,,,864
Ced - Riverside,CA,224,8756,1,Genki,215,,,,,,,,,,,,,,,,215
Carbon Recall Chattanooga,TN,223,6640,1,Guy,158,,,,,,,,,,,,,,,,158
Sunshine Renewable Solutions S,TX,238,3273,1,Genki,166,,,,,,,,,,180.4,,,,,,346.4
Solar Five,MA,237,224,1,RyanW,2453.2,,,,,,,,,,,,,,,,2453.2
Infinium Solar,CA,236,7492,1,Genki,580,,,,,,,,,,,,,,,,580
Greenlight Solar - Tx,LA,235,236,1,RyanW,4356.5,1308.3,,,,,,,,,,,,,,,5664.8
Switch Electric Llc,WA,244,8064,1,Genki,902,,,,,,,,,,,,,,,,902
Sunpro,VA,243,6408,1,RyanW,2548.2,,,,,,,,,,,,,,,,2548.2
Palmetto,MA,242,224,1,RyanW,290,,,,,,,,,,,,,,,,290
Our World Energy,AZ,241,8756,1,Genki,1458,,,430,,,,,,,,,,,,,1888
Ecoliving Inc Dba Solar Ventur,CA,240,5733,1,Genki,1412.6,680.4,972,2167.6,2638.98,1555.2,,,,,,,,,,,9426.78
Circa Energy,MD,239,9106,1,RyanW,1010.4,2829.64,3706.5,10243.78,5012.55,6051.39,6934.27,6839.5,923.45,706.28,,,,,,,44257.76
Sunrgy Llc,TX,251,236,1,Genki,22640,12930,33713,180,,,,,,,,,,,,,69463
Sunnymac,DE,250,5887,1,RyanW,27135.78,76930.36,94846.74,8463.36,,332,381.8,215.8,144.32,,54.12,,,,,,208504.28
Palmetto Solar,IL,249,4950,1,Guy,249,,,,,,,,,,,,,,,,249
Infenergy Llc,FL,248,8018,1,RyanW,1876.2,186.9,1559.6,2546.4,98.8,,,,75.83,43,,,225.5,,,,6612.23
Go Solar Power Llc,FL,247,4560,1,RyanW,83,,359.4,83,3373.97,1235.94,183.44,,86,559.71,,,180.4,,,,6144.86
Bright Home Solar Dba Florida ,FL,246,8018,1,RyanW,2702.6,61095.92,90245.01,26565.5,8261.7,2298,685.5,5606.1,4503.5,3914.99,1912.24,1215.6,4088.78,4239.4,2521.6,1026.8,220883.24
**Cod** Detach And Reset Solar,CO,245,1875,1,Genki,203.95,271.75,142.75,43,89.6,43,562.25,316.23,,,,,,,,,1672.53
Zenernet Llc,NE,264,3584,1,Guy,223.4,,,,,,,,,,,,,,,,223.4
Tron Solar Llc,IL,263,1045,1,Guy,373.5,,,,,,,,,,,,,,,,373.5
Sunpro Solar,TX,262,239,1,Genki,1074,,,,,,,,,,,,,,,,1074
"Solar Works, Llc",CO,261,1875,1,Genki,531.2,,,,,,180,567.5,,,,,,217.1,90.2,,1586
Positive Solar,AZ,260,8756,1,Genki,3478.39,4780.5,2214.42,8025.67,2607.26,457.98,2486.01,36.72,34.56,43.92,486.36,,,,,,24651.79
Northeast Solar Dba Revoluson,MA,259,224,1,RyanW,822,1190,6768,3010,4998,1751,2150,5198,,2381.2,721.6,1533.4,1581.6,1916.2,455.6,184.8,34661.4
New Prarie Construction,IL,258,6640,1,Guy,1172.6,541.2,,,,,,,,,,,,,,,1713.8
Jolma Electric,WI,257,4407,1,Guy,2288.8,1436.2,763.6,2744.7,1244.76,3640.86,236.74,,99.6,322.2,427.84,72,288.64,,,,13565.94
Jeh Solar Llc,LA,256,1132,1,RyanW,2463.2,,,266.4,631.4,332,,,,,,,,,,,3693
Insight Ventures Llc,MA,255,224,1,RyanW,2916,1375,133.2,1836.2,1512.4,829.2,732.6,3128,1246,1735.8,,,,,,,15444.4
Ecovole,IA,254,987,1,Guy,4220.2,1949.6,724.32,,,,,,,,,,,,,,6894.12
Cod-The Sun Company,AZ,253,8756,1,Genki,255.36,,,,,,,,,,,,,,,,255.36
Capital - Tempe,AZ,252,6692,1,Genki,1371.04,111.6,,,,,,,,,,,,,,,1482.64
Zenernet Llc,KS,267,3584,1,Guy,302.48,,,,,,,,,,,,,,,,302.48
Invaleon Technologies Corp,MA,2501,0,4,RyanW,6426,6564,3151,1230,3647,3085,1162,202,,,,,,,,,25467
Eco Logical Energy Systems,VA,266,1132,1,RyanW,399.6,709,979.6,,1559.6,508.14,284.4,1512,,756,417,,36,133.2,,,7294.54
Dani Grant Llc Dba Sunbility,FL,265,8618,1,RyanW,415,1202.15,124.5,1115.63,465.74,565.95,185.5,90.2,,45.1,43,,,,,,4252.77
Sun Solar,MO,273,3584,1,Guy,3354.34,1171.6,796.8,1439,,1376,,,,,,,,,,,8137.74
Solcius Llc,NM,272,148,1,Genki,5052,11646,6182,7574,5564,,,,,,,,,,,,36018
Pm & M Electric Dba Titan Sola,CA,271,8756,1,Genki,1720,,,,,,,,,,,,,,,,1720
Eos Electric Llc,TX,270,236,1,Genki,211.65,,,191.2,,,,,,,,,,,,,402.85
Codsales,FL,269,5621,1,RyanW,107.6,1225.58,1357.93,2251.6,12457.23,522.49,270.6,4254.02,823.8,605.2,1608.21,1367.15,2759.05,858.92,541.2,674.4,31684.98
Affordable Solar Roof & Air,FL,268,8018,1,RyanW,1822.8,378.4,6157.6,12218.88,30581.6,7284.2,1591,,,,,,,,,,60034.48
Solar Generation,NY,281,120,1,RyanW,183,4725,2368.5,7162,,4081.6,3304.2,6039.66,,,,,747.6,,,,28611.56
Solar Energy Systems Of Brevar,FL,280,8018,1,RyanW,3471,2283,4057.2,4662,,623,,,,,,,,,,,15096.2
Quest Solar -Quest Home Improv,NY,279,1670,1,RyanW,661.2,754,825.25,7783.6,16873.9,14612.28,8698.8,3050.4,696,762.6,1504,0,,,,,56222.03
Miami - Mer,FL,278,987,1,RyanW,400,,300,,,,,,,,,,,,,,700
Ced Dallas Gt,TX,277,3584,1,Genki,5740,,,,,,,,,,,,,,,,5740
Big Dog Energy,ID,276,5951,1,Genki,3888,3413,21258,10534.8,7136.2,7935.2,8417.2,9182,,3378.51,968,6077.76,3096,1720,,,87004.67
Alt E Wind & Solar,CO,275,2459,1,Genki,102.15,,34.05,34.05,936.4,27.74,8.3,172.05,18.04,49.61,51.39,31.57,,,61.6,,1526.95
"**Cod** Mile High Solar Guy, L",CO,274,1875,1,Genki,4.15,,54.35,,,,,,,,,,,,,,58.5
Pm & M Electric Dba Titan Sola,NV,288,8756,1,Genki,860,,,,,,,,,,,,,,,,860
