Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,Total
"Lumio, Inc",FL,197,5888,1,RyanW,,,,,,,,,,,,,,,,,0
Kuubix Global Llc,FL,196,5621,1,RyanW,,,,,,,,,,,,,,,,,0
Innovative Solar Energy,FL,195,5621,1,RyanW,,,,,430,,86,129,,,,,,,,,645
Imperium Electric,TX,194,1987,1,Genki,,,,,,,,,,,,,,,,,0
Green House Solar & Air Inc,FL,193,8018,1,RyanW,,,,,44.72,,,,,,,,,,,,44.72
"Fullers Energy, Llc",MA,2511,0,4,RyanW,,,,,86,215,43,43,,,,,,,,,387
Everlight Solar,MN,192,4664,1,Guy,,,,,,,,,,,,,,,,,0
Cod Solar Acct Only,CA,191,7605,1,Genki,,,,,365.5,43,165.12,48.16,,,,,,,,,621.78
Cod Sales,TX,190,236,1,Genki,,,,,1966.82,1919.52,1161,840.22,,,,,,,,,5887.56
Ced - Austin,FL,189,8018,1,RyanW,,,,,,,,,,,,,,,,,0
United Better Homes,RI,215,224,1,RyanW,,,,,5031,3354,1505,3070.2,,,,,,,,,12960.2
Sunpower,IL,213,4984,1,Guy,,,,,,,,,,,,,,,,,0
Sunpower,CA,214,6435,1,Genki,,,,,524.6,2627.3,,,,,,,,,,,3151.9
Sun Pro,OH,212,1154,1,Guy,,,,,,,,,,,,,,,,,0
Solgen Power Llc,WA,211,5971,1,Genki,,,,,1395,,,,,,,,,,,,1395
Revolution Energy Systems Inc,IL,210,1045,1,Guy,,,,,,2580,,516,,,,,,,,,3096
Plug Pv Llc,FL,209,8018,1,RyanW,,,,,335.4,103.2,86,43,,,,,,,,,567.6
Nw Electric And Solar,WA,208,8064,1,Genki,,,,,758.6,180.6,,385.8,,,,,,,,,1325
Isaksen Solar,MA,207,224,1,RyanW,,,,,645,,,516,,,,,,,,,1161
Ion Solar Pros,CT,206,4984,1,RyanW,,,,,86,,180.6,68.8,,,,,,,,,335.4
Empower Energy Solutions,MA,205,224,1,RyanW,,,,,860,1849,4816,567.6,,,,,,,,,8092.6
Cod-Solustria Solar Llc,TX,204,1987,1,Genki,,,,,,,,,,,,,,,,,0
Cod Sales,CO,203,2685,1,Genki,,,,,129,103.2,,,,,,,,,,,232.2
C & C Contracting Solutions Ll,FL,202,8018,1,RyanW,,,,,,,,,,,,,,,,,0
Wilkes-Barre,PA,2620,0,5,RyanW,,,,,,,,,,,,,,,,,0
United Better Homes,MA,222,224,1,RyanW,,,,,4644,2674.6,2150,4721.4,,,,,,,,,14190
Summit Energy Group,MA,221,224,1,RyanW,,,,,43,129,,,,,,,,,,,172
Solar My Home,FL,220,4560,1,RyanW,,,,,,,,,,,,,,,,,0
Rising Sun Epc,OK,219,236,1,Guy,,,,,,,,,,,,,,,,,0
Milholland Electric,NM,218,148,1,Genki,,,,,,,,,,,,,,,,,0
Grne Solar,IA,217,987,1,Guy,,,,,,,,,,,,,,,,,0
Great Sky,MA,216,224,1,RyanW,,,,,1006.2,1556.6,722.4,980.4,,,,,,,,,4265.6
Sunwatt Energy,NM,234,148,1,Genki,,,,,,,,,,,,,,,,,0
Solar Cen Tex,TX,233,236,1,Genki,,,,,,,,,,,,,,,,,0
Solar Advantage Llc,FL,232,8018,1,RyanW,,,,,,,,,,,,,,,,,0
Premier Renewables Llc,CO,231,1875,1,Genki,,,,,,,,,,,,,,,,,0
Larsun Solar Llc,CA,230,6435,1,Genki,,,,,,,,,,,,,,,,,0
Krannich Solar East Llc,NJ,229,5887,1,RyanW,,,,,,,,,,,,,,,,,0
Hurricane Heroes,FL,228,5621,1,RyanW,,,,,,,,,,,,,,,,,0
Go Green Industries Inc,MA,227,224,1,RyanW,,,,,,,,103.2,,,,,,,,,103.2
Cod Sales,NC,226,6058,1,RyanW,,,,,361.2,56.76,,103.2,,,,,,,,,521.16
Ced - Vineland,MD,225,1045,1,RyanW,,,,,,,,,,,,,,,,,0
Ced - Riverside,CA,224,8756,1,Genki,,,,,,,,,,,,,,,,,0
Carbon Recall Chattanooga,TN,223,6640,1,Guy,,,,,,,,,,,,,,,,,0
Sunshine Renewable Solutions S,TX,238,3273,1,Genki,,,,,,,,,,,,,,,,,0
Solar Five,MA,237,224,1,RyanW,,,,,,,,,,,,,,,,,0
Infinium Solar,CA,236,7492,1,Genki,,,,,,,,,,,,,,,,,0
Greenlight Solar - Tx,LA,235,236,1,RyanW,,,,,,,,,,,,,,,,,0
Switch Electric Llc,WA,244,8064,1,Genki,,,,,,,,,,,,,,,,,0
Sunpro,VA,243,6408,1,RyanW,,,,,,,,,,,,,,,,,0
Palmetto,MA,242,224,1,RyanW,,,,,,,,,,,,,,,,,0
Our World Energy,AZ,241,8756,1,Genki,,,,,,,,,,,,,,,,,0
Ecoliving Inc Dba Solar Ventur,CA,240,5733,1,Genki,,,,,,,,,,,,,,,,,0
Circa Energy,MD,239,9106,1,RyanW,,,,,81.7,451.5,1376,1548,,,,,,,,,3457.2
Sunrgy Llc,TX,251,236,1,Genki,,,,,,,,,,,,,,,,,0
Sunnymac,DE,250,5887,1,RyanW,,,,,,,,,,,,,,,,,0
Palmetto Solar,IL,249,4950,1,Guy,,,,,,,,,,,,,,,,,0
Infenergy Llc,FL,248,8018,1,RyanW,,,,,8.6,,,,,,,,,,,,8.6
Go Solar Power Llc,FL,247,4560,1,RyanW,,,,,584.8,348.3,30.1,,,,,,,,,,963.2
Bright Home Solar Dba Florida ,FL,246,8018,1,RyanW,,,,,7585.2,1634,21.5,817,,,,,,,,,10057.7
**Cod** Detach And Reset Solar,CO,245,1875,1,Genki,,,,,86,43,460.1,43,,,,,,,,,632.1
Zenernet Llc,NE,264,3584,1,Guy,,,,,,,,,,,,,,,,,0
Tron Solar Llc,IL,263,1045,1,Guy,,,,,,,,,,,,,,,,,0
Sunpro Solar,TX,262,239,1,Genki,,,,,,,,,,,,,,,,,0
"Solar Works, Llc",CO,261,1875,1,Genki,,,,,,,,,,,,,,,,,0
Positive Solar,AZ,260,8756,1,Genki,,,,,959.76,97.18,906.01,,,,,,,,,,1962.95
Northeast Solar Dba Revoluson,MA,259,224,1,RyanW,,,,,3526,1419,2150,3870,,,,,,,,,10965
New Prarie Construction,IL,258,6640,1,Guy,,,,,,,,,,,,,,,,,0
Jolma Electric,WI,257,4407,1,Guy,,,,,,583.08,65.36,,,,,,,,,,648.44
Jeh Solar Llc,LA,256,1132,1,RyanW,,,,,,,,,,,,,,,,,0
Insight Ventures Llc,MA,255,224,1,RyanW,,,,,430,197.8,236.5,963.2,,,,,,,,,1827.5
Ecovole,IA,254,987,1,Guy,,,,,,,,,,,,,,,,,0
Cod-The Sun Company,AZ,253,8756,1,Genki,,,,,,,,,,,,,,,,,0
Capital - Tempe,AZ,252,6692,1,Genki,,,,,,,,,,,,,,,,,0
