Cust_ID,Customer,Dist_Code,PC #,State,Rep,MINI,APEX,C-MOUNT,Accessories,Tools,Bolts,Screws,Unknown
1186,"Paradise Energy Solutions, Llc",1,8460,OH,Guy,2225,,,,,1995,3100,
586,Laplante Electric,1,4422,ME,RyanW,2205,,,80,,2610,7900,
3536,"Grande Prairie, Ab (2515)",8,2515,AB,Guy,2200,,,,,,11800,
1046,Synergy Power,1,5040,CA,Genki,2175,,,,,892,2840,
2858,Smedouts Services,1,5621,FL,RyanW,2170,,,,,100,900,
1159,Gensun Solar,1,224,RI,RyanW,2167,,,,,4255,6490,
2021,New York Solar Maintenance,3,0,NY,RyanW,2160,11019,,,,300,,
1372,"Nexus Energy Systems, Llc",1,6408,VA,RyanW,2160,,,,,220,1940,
190,Cod Sales,1,4391,TX,Genki,2157,,4,,,1598,,
771,Sun Dial Solar,1,224,NH,RyanW,2156,,,,,2900,7700,
2029,Smuckers Enterprises,3,0,PA,RyanW,2140,,,,,,,
3042,[Cod] Integrate Sun,1,6408,MD,RyanW,2140,,,,,,3136,
2451,Vision Solar Llc,4,0,TX,Genki,2120,,,,,2500,2500,
3256,Future Energy Solar - Cod,4,0,MA,RyanW,2120,,,,,500,7000,
438,Cod Only,1,9106,MD,RyanW,2100,817,,,,597,4226,
1989,Solar Solutions Of Missouri Ll,3,0,MO,Guy,2100,,,,,,,
3203,Bethlehem-98,5,0,PA,RyanW,2096,,200,,,194,7114,
775,Smart Green Inc,1,224,MA,RyanW,2086,,1,,,1726,4868,
2623,Ocean,5,0,NJ,RyanW,2080,,,,,,900,
799,Solar Installation Group (Sig),1,8797,CA,Genki,2080,,,,,7020,3900,
173,Sunblue Energy,1,1670,NY,RyanW,2049,,,,,1289,5797,
555,Pci Renewables,1,8187,WA,Genki,2027,,,,,2019,5820,
1625,Premier Aesthetix Installation,1,5364,OK,Guy,2020,,,,,300,,
495,Cod Account,1,6435,CA,Genki,2011,,,,,731,2973,
20,Sunwatt Energy,1,1987,TX,Genki,2000,,,,,2215,12565,
2632,Brooklyn,5,0,NY,RyanW,2000,,,,,,6000,
257,Jolma Electric,1,4407,WI,Guy,1978,,,,,1788,1700,
191,Cod Solar Acct Only,1,7605,CA,Genki,1951,,,,,1749,2872,
240,Ecoliving Inc Dba Solar Ventur,1,5733,CA,Genki,1948,,,,,120,20,
1473,Dba Southwest Energy,1,1987,TX,Genki,1945,,,,,1453,23700,
2151,Solar Energy Solutions,2,0,KY,Guy,1940,,,5600,,2300,,
