Year_Qtr,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,Customer,State,Cust_ID,PC #
2022_Q3,,,1002.46,,,,,,,,,,,,,,Energy One,KS,9,148
2022_Q4,,,,1857.88,,,,,,,,,,,,,Energy One,KS,9,148
2023_Q1,,,,,,,,,,,,,,,,,Energy One,KS,9,148
2023_Q2,,,,,,,,,,,,,,,,,Energy One,KS,9,148
2023_Q3,,,,,,,,,,,,,,,,,Energy One,KS,9,148
2023_Q4,,,,,,,,,,,,,,,,,Energy One,KS,9,148
2024_Q1,,,,,,,,,,,,,,,,,Energy One,KS,9,148
2024_Q2,,,,,,,,,,,,,,,,,Energy One,KS,9,148
2024_Q3,,,,,,,,,,,,,,,,,Energy One,KS,9,148
2024_Q4,,,,,,,,,,,,,,,,,Energy One,KS,9,148
2025_Q1,,,,,,,,,,,,,,,,,Energy One,KS,9,148
2025_Q2,,,,,,,,,,,,,,,,,Energy One,KS,9,148
2025_Q3,,,,,,,,,,,,,,,,,Energy One,KS,9,148
2025_Q4,,,,,,,,,,,,,,,,,Energy One,KS,9,148
2022_Q1,13234,,,,,,,,,,,,,,,,Encor Solar,KS,8,9106
2022_Q2,,7620.08,,,,,,,,,,,,,,,Encor Solar,KS,8,9106
2022_Q3,,,25843.75,,,,,,,,,,,,,,Encor Solar,KS,8,9106
2022_Q4,,,,32916.73,,,,,,,,,,,,,Encor Solar,KS,8,9106
2023_Q1,,,,,882.75,,,,,,,,,,,,Encor Solar,KS,8,9106
2023_Q2,,,,,,444.7,,,,,,,,,,,Encor Solar,KS,8,9106
2023_Q3,,,,,,,,,,,,,,,,,Encor Solar,KS,8,9106
2023_Q4,,,,,,,,,,,,,,,,,Encor Solar,KS,8,9106
2024_Q1,,,,,,,,,,,,,,,,,Encor Solar,KS,8,9106
2024_Q2,,,,,,,,,,,,,,,,,Encor Solar,KS,8,9106
2024_Q3,,,,,,,,,,,,,,,,,Encor Solar,KS,8,9106
2024_Q4,,,,,,,,,,,,,,,,,Encor Solar,KS,8,9106
2025_Q1,,,,,,,,,,,,,,,,,Encor Solar,KS,8,9106
2025_Q2,,,,,,,,,,,,,,,,,Encor Solar,KS,8,9106
2025_Q3,,,,,,,,,,,,,,,,,Encor Solar,KS,8,9106
2025_Q4,,,,,,,,,,,,,,,,,Encor Solar,KS,8,9106
2022_Q1,5204.7,,,,,,,,,,,,,,,,Efficient Home Services Of Flo,FL,7,236
2022_Q2,,490.2,,,,,,,,,,,,,,,Efficient Home Services Of Flo,FL,7,236
2022_Q3,,,17733.2,,,,,,,,,,,,,,Efficient Home Services Of Flo,FL,7,236
2022_Q4,,,,3483,,,,,,,,,,,,,Efficient Home Services Of Flo,FL,7,236
2023_Q1,,,,,6342.5,,,,,,,,,,,,Efficient Home Services Of Flo,FL,7,236
2023_Q2,,,,,,2480,,,,,,,,,,,Efficient Home Services Of Flo,FL,7,236
2023_Q3,,,,,,,215,,,,,,,,,,Efficient Home Services Of Flo,FL,7,236
