Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,Total
Strawberry Solar,MI,2133,0,2,Guy,2430,6706.8,6220.8,5054.4,4471.2,8262,8845.2,8262,1944,,,,,486,,,52682.4
Skyline Solar Llc,CT,2479,0,4,RyanW,415,,,,,,,,,,,,,,,,415
Green Brilliance,MD,469,9106,1,RyanW,166,1427.6,788.5,2241,4648,2573,664,788.5,353.6,541.2,992.2,1767.92,,,270.6,,17222.12
Cod Sales,WV,468,5887,1,RyanW,,,,,,,,,,,,,,,,,0
"Mayan Enterprises Of El Paso, ",TX,475,1987,1,Genki,564.4,5403.3,5229,3403,1112.2,207.5,365.2,,,,,,,,,,16284.6
Imperial Solar Llc,TX,474,3273,1,Genki,16.6,,,,,,,,,,,,,,,,16.6
Huston Electric,IN,473,1045,1,Guy,166,,,,,,,,124.5,,,,,,,,290.5
Empower Ces Llc,NY,2262,0,2,RyanW,25272,77760,58320,,3110.4,,,,,,,,,,,,164462.4
Solcius,WI,482,4407,1,Guy,2324,,,,,,,1328,,,,,,,,,3652
Solar Planet,MO,481,3584,1,Guy,415,215.8,,,,,,,,,,,,,,,630.8
Ready Nation Contractors,FL,480,5888,1,RyanW,,,,,,,,,,,,,,,,,0
"Palmetto Clean Technology, Inc",GA,479,1132,1,RyanW,153.55,1099.75,,166,830,,,,,,,,,,,,2249.3
Gardner Engineering,UT,478,6692,1,Genki,415,3338.6,777.6,,,,,,,,,,,,,,4531.2
Cod Sales,CA,477,7133,1,Genki,249,83,539.5,307.1,913,830,373.5,,45.1,280,270.6,153.34,586.3,180.4,198.44,,5009.28
Atma Energy,TX,476,236,1,Genki,,,,,,,,,,,,,,,,,0
Smart Green Inc,RI,484,224,1,RyanW,332,896.4,991.85,103.75,332,,207.5,,360.8,180.4,45.1,,,,,,3449.8
Expert Inc,FL,483,8018,1,RyanW,1743,3403,83,332,166,,,,2101.77,992.2,270.6,270.6,,112.75,,,9474.92
You Save Green Inc,NY,2449,0,4,RyanW,83,,,,,,,,,,,,,,,,83
Usa Energy Savers,FL,491,1132,1,RyanW,83,,249,166,,,,,,,,,,,,,498
Untd Energy,TX,490,239,1,Genki,1660,11205,2905,2905,,,,,,,,,,,,,18675
Sunsmart America,FL,489,4560,1,RyanW,41.5,332,83,1411,1182.75,249,66.4,,,,,,,,,,3365.65
Dba Direct Energy Fl,FL,488,5621,1,RyanW,83,,,,,,,,,,,,,,,,83
Cod-Florida State Energy,FL,487,5621,1,RyanW,83,1178.6,514.6,1701.5,581,,,,,,,,,,,,4058.7
Ced - Orlando,FL,486,120,1,RyanW,,,,,,,,,,,,,,,,,0
"Avolta Power, Inc",CO,485,1875,1,Genki,4.15,,,,,,,,,,,,,,,,4.15
Us Green Technologies,CT,501,4984,1,RyanW,8.3,,,,,,,,,,,,,,,,8.3
Rise Solutions,NJ,500,5887,1,RyanW,12.45,41.5,,,20.75,4.15,,20.75,4.15,,,,,,,,103.75
Pacific Sun Technologies Inc,CA,499,6435,1,Genki,,,,,,,,,,,,,,,,,0
Home Team Energy Inc,WI,498,4950,1,Guy,291.6,,,,,166,332,,,,,,,,135.3,,924.9
Florida Solar Products Inc,FL,2146,0,2,RyanW,972,3402,4374,1166.4,2430,97.2,8748,2138.4,,1166.4,2430,,,,,,26924.4
"Encor Solar, Llc",TX,496,236,1,Genki,166,3145.7,290.5,,,,,,,,,,,,,,3602.2
Cod Account,CA,495,6435,1,Genki,174.3,33.2,249,593.45,4.15,166,456.5,3602.2,180.4,1073.38,811.8,834.35,135.3,278.01,270.6,,8862.64
Beacon Solar,MA,494,4431,1,RyanW,249,166,,,,,,,,166,,,,,,,581
All Solar Inspections,NJ,493,5887,1,RyanW,24.9,12.45,12.45,29.05,12.45,,,24.9,,,,,,,,,116.2
All Phase - Stroudsburg,VA,492,5887,1,RyanW,4.15,,,,,,,,,,,,,,,,4.15
Suntuity,NJ,506,5887,1,RyanW,20.75,,,,,,,,,,,,,,,,20.75
Solar Generation,MO,505,6640,1,Guy,486,,,,,,,,,,,,,,,,486
Pro Star Energy Llc*,NH,2485,0,4,RyanW,166,,,83,,,,,,,,,,,,,249
"Paradise Energy Solutions, Llc",VA,504,8460,1,RyanW,4.15,,,332,332,,,,,,,,,,,,668.15
Myo Investments Inc.,TX,503,237,1,Genki,415,373.5,722.1,539.5,,,,,,,,,,,,,2050.1
Encor Solar,FL,502,8018,1,RyanW,332,3386.4,7532.25,4469.55,83,,,,,,,,,,,,15803.2
Voltaic Solaire,NY,512,5887,1,RyanW,69.95,153.55,62.25,,,,,,,,,,,,,,285.75
Sunbadger Solar Llc,IL,511,1045,1,Guy,4980,8964,,,,,,,,,,,,,,,13944
