Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,Total
Positive Solar,AZ,260,8756,1,Ken,,,,,,,,,
"Solar Works, Llc",CO,261,1875,1,Ken,,,,,,,,,
Sunpro Solar,TX,262,239,1,Ken,,,,,,,,,
Tron Solar Llc,IL,263,1045,1,Guy,,,,,,,,,
Zenernet Llc,NE,264,3584,1,Guy,,,,,,,,,
Dani Grant Llc Dba Sunbility,FL,265,8018,1,Justin,,,,,,,,,
Eco Logical Energy Systems,VA,266,1132,1,Chris,,,,,,,,,
Zenernet Llc,KS,267,3584,1,Ken,,,,,,,,,
Affordable Solar Roof & Air,FL,268,8018,1,Justin,,,,,,,,,
Codsales,FL,269,5621,1,Justin,,,,,,,,,
Eos Electric Llc,TX,270,236,1,Ken,,,,,,,,,
Pm & M Electric Dba Titan Solar,CA,271,8756,1,Rob,,,,,,,,,
Solcius Llc,NM,272,148,1,Ken,,,,,,,,,
Sun Solar,MO,273,3584,1,Guy,,,,,,,,,
"**Cod** Mile High Solar Guy, Llc",CO,274,1875,1,Ken,,,,,,,,,
Alt E Wind & Solar,CO,275,2459,1,Ken,,,,,,,,,
Big Dog Energy,ID,276,5951,1,Rob,,,,,,,,,
Ced Dallas Gt,TX,277,3584,1,Ken,,,,,,,,,
Miami - Mer,FL,278,987,1,Justin,,,,,,,,,
Quest Solar -Quest Home Improvement,NY,279,1670,1,Chris,,,,,,,,,
Solar Energy Systems Of Brevard Inc,FL,280,8018,1,Justin,,,,,,,,,
Solar Generation,NY,281,120,1,Chris,,,,,,,,,
Cod Solar Earth Inc,CA,282,7605,1,Rob,,,,,,,,,
Design 1 Group,WV,283,6058,1,Chris,,,,,,,,,
"Elite Solar Arp Solutions, Llc.",TX,284,1987,1,Ken,,,,,,,,,
Executive Power,MD,285,9106,1,Chris,,,,,,,,,
Integrity Solar,NY,286,1670,1,Chris,,,,,,,,,
Pm & M Electric Dba Titan Solar,AZ,287,8756,1,Ken,,,,,,,,,
Pm & M Electric Dba Titan Solar,NV,288,8756,1,Rob,,,,,,,,,
**Cod** Smart Wave Solar,CO,289,1875,1,Ken,,,,,,,,,
American - Pueblo,CO,290,6026,1,Ken,,,,,,,,,
Fastrac,NV,291,4090,1,Rob,,,,,,,,,
On Point Solar Power Llc,AZ,292,8756,1,Ken,,,,,,,,,
Solar Energy Systems & Service Inc,FL,293,8018,1,Justin,,,,,,,,,
Sustainable Revolution Dba Sunblaze,AZ,294,8808,1,Ken,,,,,,,,,
Blue Raven Solar,CO,295,1127,1,Ken,,,,,,,,,
Inty Power,AZ,296,8756,1,Ken,,,,,,,,,
Namaste Solar Electric,CO,297,1875,1,Ken,,,,,,,,,
Solar States Llc,NJ,298,5887,1,Chris,,,,,,,,,
Boost Electric,TX,299,236,1,Ken,,,,,,,,,
Cod Sales,ID,300,3273,1,Rob,,,,,,,,,
Emt Renewable Llc,PA,301,5887,1,Chris,,,,,,,,,
J Sun Pv,MO,302,3584,1,Guy,,,,,,,,,
Peak Solar Designs,CO,303,6026,1,Ken,,,,,,,,,
Rooftop Power Llc,RI,304,224,1,Chris,,,,,,,,,
Skyline Solar/Cod,NJ,305,5887,1,Chris,,,,,,,,,
Solar Champs,FL,306,4560,1,Justin,,,,,,,,,
Sunpower,CT,307,4984,1,Chris,,,,,,,,,
Devlin Contracting & Maintenance,NH,308,224,1,Chris,,,,,,,,,
Energy Technology Services,FL,309,5621,1,Justin,,,,,,,,,
Palmetto Solar Dba Palmetto Clean T,FL,310,8018,1,Justin,,,,,,,,,
Atlantic Key Energy,AR,311,8018,1,Ken,,,,,,,,,
Elemental Energy,OR,312,5971,1,Rob,,,,,,,,,
Excela Solar,TX,313,1987,1,Ken,,,,,,,,,
Fresh Home/Brothers Reidhead,AZ,314,8756,1,Ken,,,,,,,,,
Impact Energy,CO,315,1875,1,Ken,,,,,,,,,
Nexus Energy Systems,CA,316,6435,1,Rob,,,,,,,,,
Quantum Solar Power,TX,317,1987,1,Ken,,,,,,,,,
Source Solar,IA,318,987,1,Guy,,,,,,,,,
All Phase - Stroudsburg,PA,319,3584,1,Chris,,,,,,,,,
Assured Contracting Llc,FL,320,4560,1,Justin,,,,,,,,,
Freedom Solar,CO,321,1875,1,Ken,,,,,,,,,
Green Leaf Solar & Electric,CA,322,7492,1,Rob,,,,,,,,,
Marc Jones Construction Llc Dba Sun,SC,323,1132,1,Justin,,,,,,,,,
Solar Planet,KS,324,3584,1,Ken,,,,,,,,,
Sunrun Installation Services,CA,325,7605,1,Rob,,,,,,,,,
Grne Solar,NE,326,5415,1,Guy,,,,,,,,,
Opal Energy Group,NJ,327,5887,1,Chris,,,,,,,,,
Smart Energy Solutions - Goodleap,TX,328,4391,1,Ken,,,,,,,,,
Solar Energy World,FL,329,8018,1,Justin,,,,,,,,,
Sunergy,TX,330,237,1,Ken,,,,,,,,,
Wells Solar & Electrical Svs Llc,TX,331,236,1,Ken,,,,,,,,,
Consolidated Hudson Electric,NY,332,1670,1,Chris,,,,,,,,,
Encor Solar,MO,333,3584,1,Guy,,,,,,,,,
Esa Solar Energy Llc,FL,334,5621,1,Justin,,,,,,,,,
Freedom Solar Tx,FL,335,236,1,Justin,,,,,,,,,
