P_N,N,Category,Lot,Price_ea,Description_Original,Description_clean,Description
RT3-04-ENDCAP-00,1,APEX,120,$2.66,Skirt End Cap (L R with screws)/Bag 120bag/BOX (RT3-04-SKCAP),Skirt End Cap (L R with screws)/Bag 120bag/BOX (RT3-04-SKCAP),skirt end cap l r with screws bag 120bag box rt3 04 skcap
RT3-04-IT-3-12NM,,Accessories,1,$151.20,"","",""
RT3-04-IT-3-12Nm (Red),1,Accessories,1,$151.20,"","",""
RT3-04-IT-4-16NM,,Accessories,1,$185.04,"","",""
RT3-04-IT-4-16Nm (Black),1,Accessories,1,$185.04,"","",""
RT3-04-IT-4-18Nm (Green),,Accessories,1,$185.04,"","",""
RT3-04-M4-16S,1,APEX,100,$0.25,Self tapping screw M4×16 (100ea./bag),Self tapping screw M4×16 (100ea./bag),self tapping screw m4 16 100ea bag
RT3-04-M4-16S-01,,APEX,100,$0.25,Self tapping screw M4×16 (100ea./bag),Self tapping screw M4×16 (100ea./bag),self tapping screw m4 16 100ea bag
RT3-04-M4-16S-TA,1,APEX,100,$0.25,Self tapping screw M4×16 (100ea./bag),Self tapping screw M4×16 (100ea./bag),self tapping screw m4 16 100ea bag
RT3-04-M4-16S-YG,,APEX,100,$0.25,Self tapping screw M4×16 (100ea./bag),Self tapping screw M4×16 (100ea./bag),self tapping screw m4 16 100ea bag
RT3-04-M8BIT,1,Tools,1,$6.02,"","",""
RT3-04-RFEBBK,1,REB,1,$20.00,RT-Roof Entry Bracket (1 ea./ 1 Box),RT-Roof Entry Bracket (1 ea./ 1 Box),rt roof entry bracket 1 ea 1 box
RT3-04-RFEBBK-01,,REB,1,$20.00,RT-Roof Entry Bracket (1 ea./ 1 Box),RT-Roof Entry Bracket (1 ea./ 1 Box),rt roof entry bracket 1 ea 1 box
RT3-04-SKCAP,1,APEX,120,$2.66,Skirt end cap (1 set./ BOX),Skirt end cap (1 set./ BOX),skirt end cap 1 set box
RT3-04-SKSSL,1,APEX,24,$0.87,RT-APEX Skirt Bonding Splice (24ea./Box ),RT-APEX Skirt Bonding Splice (24ea./Box ),rt apex skirt bonding splice 24ea box
RT3-04-SKSSL-20,1,APEX,24,$0.87,RT-APEX Skirt Bonding Splice (24ea./Box ),RT-APEX Skirt Bonding Splice (24ea./Box ),rt apex skirt bonding splice 24ea box
RT3-04-SNCLSL,,APEX,30,$1.50,RT-APEX additonal support clip for piller(30ea./Box ),RT-APEX additonal support clip for piller(30ea./Box ),rt apex additonal support clip for piller 30ea box
RTM-BP:RTM-BP-00,,Accessories,,"","","",""
RTM-CHBK-1,,Accessories,,"","","",""
RTM-CHSET-1,,Accessories,,"","","",""
RTM-E31BK-1,,Accessories,,"","","",""
